epoch,total_loss
1,179576.53354930878
2,31556.51880800724
3,29230.970265626907
4,23761.448236882687
5,15031.44935798645
6,12506.455271542072
7,10999.353164702654
8,9726.721941173077
9,9320.458184242249
10,8824.911180615425
11,8305.762808084488
12,7883.182679951191
13,7559.096198856831
14,7478.529361158609
15,7120.325917720795
16,6722.420662522316
17,6530.755545318127
18,6400.548476964235
19,6026.531139522791
20,5728.546620965004
21,5510.906066060066
22,5334.769471824169
23,5111.417149305344
24,4948.559078633785
25,4774.900695890188
26,4659.092814922333
27,4469.241616934538
28,4422.523847579956
29,4154.1184005737305
30,4086.0971466600895
31,4115.008428782225
32,3940.304951429367
33,3900.442601978779
34,3833.2114166021347
35,3699.0064915418625
36,3711.9775791168213
37,3631.426964968443
38,3503.8309037685394
39,3515.6449980437756
40,3419.3607762157917
41,3343.408722758293
42,3369.916561663151
43,3304.1037478148937
44,3245.3243711441755
45,3135.941587537527
46,3132.089115589857
47,3037.0461282134056
48,2988.0787953436375
49,2927.832502603531
50,2922.0998682528734
51,2880.1697797626257
52,2886.723072439432
53,2801.589466691017
54,2835.049216866493
55,2786.7082042098045
56,2727.3689046278596
57,2719.3559545725584
58,2661.184758350253
59,2630.833050817251
60,2606.0253317654133
